Student_ID,Z_Name,Animal_Type,Animal_Category,Zootopia_District,Study_Hours_Per_Day,Extracurricular_Hours_Per_Day,Sleep_Hours_Per_Day,Social_Hours_Per_Day,Physical_Activity_Hours_Per_Day,Fur_Color,Paw_Size,Tail_Length_cm,Stress_Level
247,Bonnie Jaguar,Lion,Predator,Sahara Square,5.8,0.4,8.2,4.2,5.4,White,Small,87,Low
248,Madge Hedgehog,Tiger,Predator,Savanna Central,8.5,,8.6,2.7,0.7,White,Medium,20,High
249,Clawhauser Beaver,Sloth,Prey,Meadowlands,6.7,3.3,5.4,5.4,3.2,Golden,Large,126,High
250,Doug Leopard,Sheep,Prey,Meadowlands,7.3,2.6,,4.4,2.1,Black,Large,117,Moderate
251,Manchas Sloth,Elephant,Prey,Meadowlands,5.4,0.2,6.2,1.0,11.2,Spotted,Extra Large,109,Low
253,Manchas Gorilla,Polar Bear,Predator,Tundratown,8.3,2.0,7.8,4.2,1.7,Spotted,Medium,143,High
254,Jerry Rabbit,Jaguar,Predator,Savanna Central,6.0,2.7,5.4,0.2,9.7,Golden,Extra Large,25,High
256,Raymond Pig,Panther,Predator,,6.7,1.5,9.9,0.2,5.7,Black,Small,66,Moderate
257,Officer Coyote,Jaguar,Predator,Sahara Square,9.3,2.3,7.2,3.8,1.4,Black,Large,115,High
258,Swift Skunk,Hedgehog,Prey,Sahara Square,9.5,1.7,6.4,3.6,2.8,Golden,Large,117,High
259,FruFru Dog,Rat,Prey,Rainforest District,9.6,0.8,8.1,3.5,2.0,Brown,Medium,131,High
260,Larry Lynx,Jaguar,Predator,Sahara Square,8.6,3.6,5.9,1.4,4.5,,Medium,27,High
261,Peter Rhino,Gazelle,Prey,Tundratown,9.9,0.7,9.3,2.0,2.1,Golden,Small,50,High
262,Bonnie Porcupine,Hedgehog,Prey,Rainforest District,7.2,2.1,6.8,3.6,4.3,Brown,Large,93,Moderate
263,Clawhauser Chipmunk,Leopard,Predator,Tundratown,5.8,1.6,9.8,1.5,5.3,Grey,Large,84,Low
264,Claws Mouse,Rabbit,Prey,Rainforest District,8.9,0.5,9.8,2.2,2.6,Brown,Medium,109,High
265,Clawhauser Gorilla,Panther,Predator,,6.2,0.3,5.8,3.1,8.6,Golden,Large,94,High
266,Fabienne Dog,Giraffe,Prey,Tundratown,7.2,1.0,8.1,4.2,3.5,Black,Large,35,Moderate
267,Clawhauser Dog,Leopard,Predator,Downtown,5.8,0.7,5.2,4.4,7.9,,Extra Large,23,High
268,Clawhauser Lion,Rhino,Prey,Tundratown,9.2,3.2,7.9,3.2,0.5,Black,Large,62,High
269,Swift Sloth,Hippo,Prey,Tundratown,,0.4,6.3,0.3,11.0,Golden,Small,126,Moderate
270,Fuzzy Bear,Cheetah,Predator,Savanna Central,5.2,0.5,7.3,5.6,5.4,White,Extra Large,21,Low
271,Paws Jaguar,Jaguar,Predator,Savanna Central,6.6,,5.2,0.9,9.3,Golden,Medium,41,High
272,FruFru Raccoon,Otter,Predator,Rainforest District,7.3,2.1,7.4,4.0,3.2,,Large,122,Moderate
273,Clawhauser Coyote,Sloth,Prey,Meadowlands,5.7,0.1,6.5,4.2,7.5,Striped,Medium,46,Low
274,Fuzzy Hyena,Cheetah,Predator,Downtown,9.8,0.4,8.4,2.4,3.0,Golden,Large,51,High
275,Gazelle Cougar,Weasel,Predator,,9.3,0.7,8.5,4.6,0.9,Orange,Small,27,High
277,Bellwether Hyena,Otter,Predator,Meadowlands,5.2,3.7,8.4,4.1,2.6,Spotted,Extra Large,40,Low
278,Bellwether Cougar,Panther,Predator,Savanna Central,7.0,2.6,5.5,3.9,5.0,Grey,Small,108,High
279,Gareth Tiger,Cheetah,Predator,Meadowlands,10.0,0.2,9.9,1.6,2.3,White,Medium,150,High
280,Frantic Cheetah,Lion,Predator,,7.8,3.0,9.4,1.5,2.3,White,Large,101,Moderate
281,Yax Porcupine,Hyena,Predator,Rainforest District,6.6,2.7,9.0,4.3,1.4,Spotted,Extra Large,145,Moderate
282,Priscilla Otter,Rabbit,Prey,Rainforest District,9.1,0.5,7.7,0.0,6.7,Orange,Extra Large,141,High
283,Bogo Panther,Hedgehog,Prey,Rainforest District,6.6,1.5,7.0,4.2,4.7,Brown,Small,42,Moderate
284,Gazelle Cat,Pig,Prey,Rainforest District,6.2,1.5,6.1,0.4,9.8,Spotted,Extra Large,108,Moderate
285,Officer Badger,Sheep,Prey,Rainforest District,8.0,2.7,8.1,2.4,2.8,Brown,Small,35,Moderate
286,,Otter,Predator,Rainforest District,7.6,1.9,5.1,2.0,7.4,Grey,Medium,22,High
287,Fabienne Opossum,Hedgehog,Prey,Sahara Square,6.9,1.6,7.9,3.2,4.4,Grey,Medium,8,Moderate
288,Jerry Pig,Tiger,Predator,,9.1,2.9,9.8,0.0,2.2,White,Extra Large,113,High
289,Stu Rabbit,Yak,Prey,Tundratown,6.0,0.0,,5.4,4.4,Orange,Small,31,Moderate
290,Fabienne Rabbit,Jaguar,Predator,Tundratown,5.3,3.7,6.8,0.6,7.6,White,Small,143,Low
291,Gareth Lynx,Hamster,Prey,Sahara Square,7.4,1.0,6.4,1.8,7.4,Spotted,Medium,3,Moderate
292,Jerry Hare,Gazelle,Prey,Rainforest District,6.6,2.4,8.6,1.6,4.8,Spotted,Small,12,Moderate
293,Madge Rat,Jaguar,Predator,Meadowlands,7.1,0.5,5.9,4.1,6.4,Black,Extra Large,31,High
294,Gideon Rabbit,Polar Bear,Predator,Downtown,8.5,0.4,7.8,1.5,5.8,Striped,Medium,35,High
295,Peter Cougar,Giraffe,Prey,Rainforest District,9.8,1.9,9.0,1.8,1.5,,Large,91,High
296,Chief Shrew,Tiger,Predator,Sahara Square,9.8,2.4,9.1,2.4,0.3,,Small,50,High
297,Claws Tiger,Elephant,Prey,Sahara Square,6.1,0.8,8.1,2.5,6.5,Black,Small,107,Moderate
298,Bellwether Macaque,Rhino,Prey,Sahara Square,8.9,1.1,9.1,2.1,2.8,Striped,Small,140,High
299,Judy Squirrel,Sloth,Prey,Rainforest District,8.3,0.4,8.1,2.7,4.5,Brown,Small,148,High
300,Chief Lynx,Elephant,Prey,Rainforest District,8.7,3.5,6.1,0.5,5.2,Brown,Small,26,High
301,Finnick Bear,Hyena,Predator,Meadowlands,5.1,2.6,8.0,3.3,5.0,Orange,Extra Large,93,Low
302,Gazelle Hopps,Elephant,Prey,Downtown,8.0,2.0,9.9,0.6,3.5,Striped,Large,64,Moderate
303,Bonnie Yak,Fox,Predator,Downtown,8.5,,7.1,4.3,2.5,Black,Large,43,High
304,Fuzzy Shrew,Wolf,Predator,Downtown,6.4,0.3,5.4,5.4,6.5,Grey,Medium,10,High
305,Claws Armadillo,Rabbit,Prey,Savanna Central,6.0,1.3,6.1,2.1,8.5,Grey,Extra Large,64,Moderate
306,Gideon Hedgehog,Rhino,Prey,Sahara Square,5.3,3.2,6.2,3.2,6.1,Grey,Extra Large,44,Low
307,Nangi Puma,Sloth,Prey,Tundratown,9.4,2.6,7.7,1.4,2.9,Spotted,Extra Large,133,High
308,Bellwether Jackal,Otter,Predator,Sahara Square,10.0,2.6,7.8,2.6,1.0,Orange,Medium,148,High
309,Priscilla Hopps,Polar Bear,Predator,Savanna Central,7.3,0.2,7.8,5.7,3.0,Spotted,Medium,143,Moderate
310,Emmitt Tiger,Hamster,Prey,Rainforest District,,2.1,5.5,2.7,7.7,Spotted,Small,89,High
311,Raymond Badger,Leopard,Predator,Meadowlands,8.8,1.4,8.3,4.4,1.1,Grey,Extra Large,80,High
312,FruFru Armadillo,Lion,Predator,Savanna Central,10.0,3.7,7.7,2.2,0.4,Grey,Extra Large,47,High
313,Snout Shrew,Lion,Predator,Rainforest District,7.6,2.5,5.4,4.5,4.0,,Extra Large,139,High
314,Peter Chipmunk,Hyena,Predator,Sahara Square,8.9,,5.2,1.8,5.3,Striped,Medium,32,High
315,Paws Hippo,Elephant,Prey,Savanna Central,,1.4,5.4,,5.3,Orange,Small,62,High
316,Judy Coyote,Pig,Prey,,7.0,1.8,8.0,3.1,4.1,Grey,Extra Large,87,Moderate
317,Peter Ocelot,Yak,Prey,Savanna Central,9.6,2.0,10.0,2.0,0.4,Grey,Extra Large,60,High
318,Finnick Leopard,Moose,Prey,Savanna Central,6.9,3.5,9.3,3.5,0.8,White,Small,143,Moderate
319,Duke Hopps,Mouse,Prey,Downtown,9.0,1.2,5.4,2.4,6.0,Orange,Extra Large,94,High
320,Sparky Otter,Elephant,Prey,Downtown,6.7,3.9,8.2,4.3,0.9,Spotted,Large,72,Moderate
321,Yax Shrew,Hyena,Predator,Tundratown,5.7,3.4,9.6,2.6,2.7,Brown,Medium,71,Low
322,Finnick Squirrel,Hippo,Prey,Savanna Central,5.9,2.0,7.0,0.9,8.2,Striped,Extra Large,63,Low
323,Sparky Badger,Fox,Predator,Tundratown,6.8,0.3,5.1,0.8,11.0,Orange,Large,37,High
324,Kevin Rhino,Hedgehog,Prey,Savanna Central,9.8,1.7,6.6,3.0,2.9,Spotted,Extra Large,26,High
325,Raymond Sheep,Cheetah,Predator,Meadowlands,7.2,0.4,8.2,,6.9,Orange,Extra Large,123,Moderate
326,Bonnie Panther,Sheep,Prey,Meadowlands,5.8,0.2,8.9,2.8,6.3,,Extra Large,130,Low
327,Nangi Sheep,Panther,Predator,Meadowlands,5.3,4.0,5.3,4.2,5.2,Spotted,Extra Large,62,High
328,Stu Dingo,Weasel,Predator,Meadowlands,8.5,0.2,7.5,6.0,1.8,Golden,Small,85,High
329,Jerry Jackal,Gazelle,Prey,Downtown,9.1,2.5,6.5,3.7,2.2,Grey,Small,108,High
330,Fuzzy Mouse,Leopard,Predator,Tundratown,5.7,3.5,7.2,1.2,6.4,Brown,Extra Large,142,Low
331,Tail Hopps,Giraffe,Prey,Downtown,6.8,1.7,9.1,4.4,2.0,Grey,Small,89,Moderate
332,,Rabbit,Prey,Downtown,5.1,1.0,8.8,0.8,8.3,Brown,Extra Large,104,Low
333,Clawhauser Otter,Leopard,Predator,Tundratown,7.7,0.9,5.1,,8.9,Golden,Large,111,High
334,Lionheart Cougar,Lion,Predator,Sahara Square,5.5,2.2,7.3,5.1,3.9,Brown,Extra Large,3,Low
335,Whiskers Rabbit,Rabbit,Prey,Meadowlands,5.5,2.0,5.8,1.9,8.8,Striped,Extra Large,113,High
336,Kevin Dingo,Lion,Predator,Tundratown,6.9,1.6,7.3,4.7,3.5,Grey,Small,72,Moderate
337,Bogo Hyena,Hamster,Prey,,9.5,3.8,8.9,0.6,1.2,Black,Medium,131,High
338,Judy Elephant,Hippo,Prey,Sahara Square,6.3,3.4,5.2,5.4,3.7,Orange,Small,12,High
339,Pronk Hippo,Polar Bear,Predator,,7.3,2.5,8.3,5.3,0.6,Orange,Large,2,Moderate
340,,Leopard,Predator,Rainforest District,5.3,2.1,,4.4,6.4,,Medium,50,High
341,Jerry Shrew,Hippo,Prey,Rainforest District,7.6,2.7,5.2,0.5,8.0,Orange,Small,68,High
342,Tail Lion,Hyena,Predator,Savanna Central,5.4,0.0,9.8,4.4,4.4,Golden,Medium,39,Low
343,Mayor Bear,Wolf,Predator,Savanna Central,6.8,1.2,6.7,4.6,4.7,Black,Large,85,Moderate
344,Agent Wilde,Rabbit,Prey,Rainforest District,5.9,0.4,8.3,4.6,4.8,White,Small,110,Low
345,Judy Chipmunk,Rhino,Prey,Sahara Square,6.3,,5.4,5.8,6.4,Spotted,Medium,65,High
346,Snout Baboon,Sloth,Prey,Sahara Square,8.1,1.5,6.0,0.7,7.7,Striped,Small,16,High
347,,Giraffe,Prey,Sahara Square,8.1,3.1,8.2,2.4,2.2,White,Large,29,High
348,FruFru Wolf,Hippo,Prey,Sahara Square,9.9,2.4,7.9,2.8,1.0,Grey,Medium,3,High
349,Flash Macaque,Weasel,Predator,Tundratown,9.1,2.6,5.6,2.0,4.7,Spotted,Extra Large,26,High
350,Emmitt Panther,Yak,Prey,Rainforest District,7.2,2.5,9.7,1.1,3.5,Grey,Large,80,Moderate
351,FruFru Fox,Pig,Prey,Sahara Square,5.6,0.8,,3.9,4.3,White,Large,25,Low
352,Agent Wolf,Mouse,Prey,Rainforest District,9.3,3.4,9.6,0.4,1.3,Black,Large,98,High
353,Gideon Shrew,Pig,Prey,Rainforest District,8.8,,9.2,3.1,1.1,Black,Large,63,High
355,Fabienne Panther,Panther,Predator,Sahara Square,5.2,0.7,5.7,4.4,8.0,White,Small,124,High
356,Koslov Skunk,Cheetah,Predator,Downtown,7.5,3.4,8.7,2.4,2.0,Brown,Medium,141,Moderate
357,Bogo Tiger,Rabbit,Prey,,8.0,2.0,6.5,3.4,4.1,,Medium,61,Moderate
358,Koslov Rhino,Leopard,Predator,Sahara Square,8.2,3.0,5.8,2.8,4.2,,Small,142,High
359,Bonnie Wolf,Zebra,Prey,Savanna Central,5.0,1.0,8.6,6.0,3.4,Brown,Large,95,Low
360,Priscilla Shrew,Jaguar,Predator,Meadowlands,9.0,,7.8,4.4,2.0,Golden,Small,91,High
361,,Hippo,Prey,Savanna Central,8.1,0.8,6.8,4.7,3.6,Spotted,Extra Large,6,High
362,Nangi Baboon,Leopard,Predator,Tundratown,8.8,0.1,8.7,1.2,5.2,,Small,145,High
363,Whiskers Fox,Giraffe,Prey,,9.8,1.5,6.6,0.9,5.2,Spotted,Small,101,High
364,FruFru Dingo,Panther,Predator,Sahara Square,10.0,1.5,7.2,3.8,1.5,Spotted,Medium,148,High
365,Gareth Moose,Polar Bear,Predator,Downtown,9.4,2.4,7.0,2.1,3.1,Black,Extra Large,64,High
366,Doug Rhino,Pig,Prey,Savanna Central,9.0,0.4,7.9,2.9,3.8,White,Extra Large,36,High
367,,Rhino,Prey,Sahara Square,8.2,0.3,7.9,3.4,4.2,Golden,Extra Large,38,High
368,Frantic Squirrel,Rabbit,Prey,Sahara Square,8.4,3.2,6.3,5.0,1.1,Orange,Extra Large,123,High
369,Flash Wilde,Rhino,Prey,Sahara Square,7.5,0.3,5.3,2.0,8.9,Grey,Small,32,High
370,Gary Dog,Lion,Predator,Tundratown,8.9,2.1,7.2,0.9,4.9,Black,Extra Large,91,High
371,Pronk Wolf,Lion,Predator,Savanna Central,6.6,1.7,5.4,1.3,9.0,Grey,Extra Large,143,High
372,Frantic Rabbit,Lion,Predator,Sahara Square,10.0,3.7,8.2,0.9,1.2,Golden,Extra Large,120,High
373,Priscilla Hippo,Panther,Predator,Rainforest District,8.2,3.1,5.6,2.5,4.6,,Large,23,High
374,Tail Yak,Rat,Prey,Savanna Central,7.9,2.4,5.9,2.2,5.6,Golden,Small,141,High
376,Finnick Hedgehog,Zebra,Prey,Downtown,6.5,3.8,6.3,2.6,4.8,White,Small,80,Moderate
377,Manchas Hippo,Elephant,Prey,Downtown,9.4,3.4,5.9,4.3,1.0,Golden,Small,80,High
378,Bogo Otter,Rhino,Prey,Rainforest District,5.7,0.3,8.6,3.0,6.4,,Small,53,Low
379,Ranger Lynx,Sloth,Prey,,7.2,2.9,8.8,0.8,4.3,Golden,Large,145,Moderate
380,Sharla Weasel,Panther,Predator,Downtown,8.8,2.6,9.8,0.2,2.6,Black,Medium,69,High
381,Stu Badger,Pig,Prey,Downtown,5.3,1.1,6.3,1.5,9.8,Black,Extra Large,55,Low
382,Chief Cat,Rhino,Prey,Tundratown,6.4,3.0,7.2,4.7,2.7,Striped,Medium,8,Moderate
383,Nangi Coyote,Panther,Predator,Sahara Square,5.3,2.0,5.2,0.4,11.1,Striped,Large,66,High
384,Fabienne Hopps,Jaguar,Predator,Downtown,6.7,3.6,5.1,4.0,4.6,,Small,74,High
385,Sharla Coyote,Pig,Prey,Rainforest District,9.8,,9.7,0.1,2.2,White,Medium,143,High
386,Sharla Tiger,Jaguar,Predator,Meadowlands,8.7,3.9,6.3,3.3,1.8,Black,Large,11,High
387,Nick Armadillo,Tiger,Predator,Downtown,6.0,2.3,7.3,5.8,2.6,Orange,Medium,145,Moderate
388,Larry Porcupine,Rabbit,Prey,Rainforest District,5.6,0.6,6.1,1.5,10.2,Orange,Small,63,Low
389,Madge Coyote,Pig,Prey,Tundratown,9.3,2.2,7.6,0.6,4.3,Striped,Large,87,High
390,Bucky Raccoon,Gazelle,Prey,Meadowlands,5.3,2.8,7.7,0.5,7.7,Black,Small,59,Low
391,Kevin Porcupine,Yak,Prey,Tundratown,7.3,1.9,5.8,5.7,3.3,Grey,Extra Large,56,High
392,Hooves Armadillo,Hyena,Predator,Sahara Square,7.3,1.6,8.3,3.3,3.5,Striped,Medium,80,Moderate
393,Kevin Skunk,Hamster,Prey,Tundratown,5.3,2.1,,2.8,4.8,Striped,Extra Large,66,Low
394,Nangi Squirrel,Jaguar,Predator,Meadowlands,5.8,1.3,8.8,3.1,5.0,Spotted,Extra Large,26,Low
395,Fuzzy Rabbit,Rhino,Prey,Downtown,6.0,3.5,9.4,4.4,0.7,Spotted,Small,55,Moderate
396,Madge Hare,Yak,Prey,Rainforest District,9.9,3.1,5.1,0.4,5.5,Black,Large,124,High
397,Pronk Fox,Rhino,Prey,Rainforest District,7.3,3.6,7.7,2.7,2.7,Spotted,Extra Large,74,Moderate
398,Flash Tiger,Hippo,Prey,Rainforest District,9.1,1.5,8.9,4.3,0.2,Black,Extra Large,103,High
399,Paws Puma,Elephant,Prey,Sahara Square,6.0,2.1,,4.8,4.7,Striped,Small,121,Moderate
400,Jerry Moose,Rat,Prey,Tundratown,9.0,1.6,9.6,2.0,1.8,Brown,Medium,61,High
401,Tail Tiger,Hamster,Prey,Tundratown,5.8,,9.0,1.9,4.5,Black,Medium,0,Low
402,Whiskers Macaque,Hyena,Predator,Meadowlands,5.9,3.6,8.3,0.9,5.3,White,Large,132,Low
403,Bogo Fox,Elephant,Prey,Tundratown,7.2,2.5,5.4,,3.6,Striped,Medium,121,High
404,Finnick Raccoon,Yak,Prey,Tundratown,9.8,1.7,9.9,1.7,0.9,Grey,Large,18,High
405,Agent Puma,Fox,Predator,Savanna Central,8.2,0.7,9.4,2.4,3.3,Spotted,Small,112,High
406,Nangi Rhino,Leopard,Predator,Downtown,8.6,3.6,5.4,4.4,2.0,Spotted,Medium,129,High
407,Claws Dog,Jaguar,Predator,Tundratown,5.9,3.4,9.1,3.0,2.6,Grey,Extra Large,40,Low
408,Agent Hare,Mouse,Prey,Savanna Central,7.4,3.3,7.3,2.1,3.9,,Medium,10,Moderate
409,Yax Yak,Cheetah,Predator,Savanna Central,7.5,3.3,6.7,,5.5,Brown,Large,66,Moderate
410,Manchas Lynx,Sheep,Prey,Savanna Central,5.5,1.0,,2.1,9.7,Golden,Small,91,High
411,Larry Cougar,Hamster,Prey,Rainforest District,7.3,3.0,8.3,3.4,2.0,Striped,Medium,118,Moderate
412,Priscilla Skunk,Hyena,Predator,Savanna Central,7.4,3.9,8.2,0.6,3.9,Grey,Medium,91,Moderate
413,Bogo Jackal,Zebra,Prey,Rainforest District,8.4,1.3,8.4,0.4,5.5,Orange,Medium,47,High
414,Agent Rabbit,Gazelle,Prey,Downtown,6.1,3.3,6.4,3.9,4.3,Grey,Extra Large,127,Moderate
415,Judy Fox,Hedgehog,Prey,Tundratown,8.5,2.1,6.5,1.3,5.6,,Medium,73,High
416,Stu Bunny,Rat,Prey,Tundratown,9.4,3.1,8.9,1.7,0.9,Striped,Large,28,High
417,Koslov Porcupine,Moose,Prey,Rainforest District,6.3,3.6,8.4,3.2,2.5,Orange,Large,116,Moderate
418,Agent Hippo,Fox,Predator,Meadowlands,7.3,3.5,7.7,2.1,3.4,Orange,Extra Large,124,Moderate
419,Bellwether Rabbit,Pig,Prey,Sahara Square,9.9,0.4,7.1,0.3,6.3,Grey,Large,67,High
420,Pronk Sloth,Elephant,Prey,Sahara Square,6.4,3.4,6.5,5.5,2.2,Golden,Medium,42,Moderate
421,Fabienne Cat,Weasel,Predator,Meadowlands,8.8,3.2,5.1,5.8,1.1,Brown,Large,95,High
422,Gideon Wolf,Moose,Prey,Savanna Central,9.1,1.1,9.4,0.5,3.9,Golden,Extra Large,121,High
423,Peter Hyena,Zebra,Prey,Sahara Square,,2.2,5.5,1.5,6.3,,Extra Large,14,High
424,Fabienne Hippo,Giraffe,Prey,Meadowlands,6.5,,6.5,1.8,6.8,Black,Medium,30,Moderate
425,Frantic Shrew,Hamster,Prey,Sahara Square,8.7,0.2,,4.8,0.8,Grey,Extra Large,68,High
426,Bucky Rabbit,Hamster,Prey,,9.5,0.7,5.4,1.4,7.0,Brown,Small,18,High
427,Madge Baboon,Otter,Predator,Tundratown,9.0,0.1,7.9,6.0,1.0,White,Medium,84,High
428,Peter Weasel,Gazelle,Prey,Rainforest District,5.3,3.3,8.0,0.7,6.7,White,Small,84,Low
429,Gideon Rat,Lion,Predator,Meadowlands,5.5,3.6,,5.0,1.6,Striped,Large,84,Low
430,Larry Cat,Hamster,Prey,Tundratown,7.6,1.7,6.6,2.6,5.5,Spotted,Extra Large,131,Moderate
431,Officer Shrew,Elephant,Prey,Sahara Square,8.9,2.4,,1.4,1.8,Grey,Small,20,High
432,Claws Gorilla,Tiger,Predator,Meadowlands,8.0,2.8,6.2,3.1,3.9,Black,Large,91,Moderate
433,Gary Panther,Rhino,Prey,Sahara Square,5.5,1.5,7.4,3.9,5.7,Brown,Medium,144,Low
434,Peter Coyote,Moose,Prey,Savanna Central,8.7,2.0,8.2,0.4,4.7,Black,Medium,75,High
435,Frantic Tiger,Gazelle,Prey,Savanna Central,6.3,1.4,7.4,0.3,8.6,Orange,Small,126,Moderate
436,Judy Wilde,Pig,Prey,Sahara Square,9.9,1.3,7.4,1.1,4.3,Spotted,Extra Large,12,High
437,Peter Raccoon,Giraffe,Prey,,8.1,1.1,6.0,3.1,5.7,Grey,Extra Large,31,High
438,Raymond Jaguar,Yak,Prey,Tundratown,9.0,2.3,7.6,1.5,3.6,White,Extra Large,35,High
439,Sparky Wilde,Rabbit,Prey,Meadowlands,9.7,1.6,5.4,3.7,3.6,Golden,Small,47,High
440,Dash Baboon,Panther,Predator,Sahara Square,7.5,3.5,7.5,3.9,1.6,Golden,Small,16,Moderate
441,Bucky Moose,Yak,Prey,Downtown,10.0,0.5,,2.4,4.7,Grey,Large,18,High
442,Ranger Sheep,Mouse,Prey,Downtown,9.5,2.9,8.0,1.1,2.5,Striped,Medium,119,High
443,Paws Bunny,Otter,Predator,Rainforest District,9.1,,9.1,0.0,2.0,Spotted,Small,2,High
444,Mayor Weasel,Lion,Predator,Sahara Square,6.3,0.2,8.0,4.1,5.4,Orange,Medium,104,Moderate
445,Whiskers Cheetah,Hamster,Prey,Meadowlands,5.6,1.5,7.3,2.2,7.4,White,Small,53,Low
446,Ranger Squirrel,Rat,Prey,Rainforest District,8.8,0.3,5.4,2.1,7.4,Golden,Large,115,High
447,Doug Opossum,Cheetah,Predator,Sahara Square,9.7,2.7,8.4,1.2,2.0,Brown,Large,77,High
448,Gazelle Macaque,Polar Bear,Predator,Tundratown,8.2,3.7,8.1,3.5,0.5,Spotted,Small,58,High
449,Raymond Panther,Fox,Predator,Tundratown,8.6,0.5,9.5,0.4,5.0,,Medium,72,High
450,Pronk Shrew,Sloth,Prey,Downtown,5.1,1.7,6.5,2.9,7.8,Spotted,Medium,64,Low
452,Gareth Panther,Sheep,Prey,Rainforest District,8.3,3.4,8.5,1.6,2.2,Grey,Medium,5,High
453,Fabienne Rat,Panther,Predator,Tundratown,8.4,1.1,6.5,4.7,3.3,Brown,Large,124,High
454,Yax Wolf,Sheep,Prey,Savanna Central,9.1,3.4,9.6,0.8,1.1,Grey,Medium,55,High
455,Frantic Wilde,Rat,Prey,Sahara Square,6.6,2.3,6.9,3.6,4.6,Striped,Large,24,Moderate
456,Finnick Bunny,Polar Bear,Predator,Tundratown,6.9,0.7,7.2,0.9,8.3,Brown,Large,65,Moderate
457,Gazelle Wilde,Sheep,Prey,Downtown,9.5,1.4,5.8,0.2,7.1,Spotted,Medium,24,High
458,Nick Hopps,Rhino,Prey,Tundratown,6.7,0.3,7.0,1.9,8.1,Golden,Extra Large,132,Moderate
459,Nick Raccoon,Giraffe,Prey,,8.4,2.4,6.8,1.3,5.1,Golden,Extra Large,136,High
460,Gideon Wilde,Pig,Prey,Meadowlands,8.4,0.6,7.4,0.2,7.4,Black,Extra Large,96,High
461,Fluffy Rhino,Elephant,Prey,,7.5,,6.9,0.2,5.5,Brown,Small,2,Moderate
462,Gareth Yak,Hedgehog,Prey,Sahara Square,5.8,0.1,8.8,2.8,6.5,,Large,60,Low
463,Fabienne Wilde,Hedgehog,Prey,Meadowlands,6.4,3.6,5.6,5.7,2.7,Golden,Small,129,High
464,Officer Beaver,Gazelle,Prey,Meadowlands,8.0,3.3,9.9,0.8,2.0,Spotted,Small,58,Moderate
465,,Gazelle,Prey,Rainforest District,9.8,1.6,6.9,1.9,3.8,Spotted,Extra Large,43,High
466,Flash Gorilla,Lion,Predator,Meadowlands,7.8,2.2,8.8,4.3,0.9,Grey,Small,148,Moderate
467,Dash Rhino,Rat,Prey,Tundratown,7.2,1.2,6.3,1.2,8.1,Orange,Extra Large,89,Moderate
468,Stu Baboon,Panther,Predator,Meadowlands,6.4,3.9,7.8,2.0,3.9,,Extra Large,68,Moderate
469,Mayor Elephant,Rhino,Prey,Tundratown,7.9,0.6,7.2,3.8,4.5,Orange,Medium,24,Moderate
470,Fabienne Chipmunk,Polar Bear,Predator,Sahara Square,10.0,3.5,8.1,1.4,1.0,Orange,Small,78,High
471,Raymond Cougar,Hippo,Prey,Rainforest District,8.1,0.8,,0.2,7.9,Golden,Small,92,High
472,Lionheart Baboon,Jaguar,Predator,Downtown,6.1,,9.5,3.2,1.3,Black,Medium,150,Moderate
473,Koslov Rat,Mouse,Prey,Meadowlands,7.7,3.5,5.7,4.7,2.4,Striped,Small,104,High
474,Nangi Ocelot,Elephant,Prey,Savanna Central,6.4,3.5,9.7,0.7,3.7,Spotted,Medium,140,Moderate
475,Larry Rabbit,Rhino,Prey,Tundratown,7.3,3.9,7.4,4.7,0.7,,Large,27,Moderate
476,Priscilla Panther,Rabbit,Prey,,6.4,0.8,8.8,2.3,5.7,Spotted,Medium,54,Moderate
477,Stu Pig,Jaguar,Predator,Meadowlands,7.6,,7.9,5.2,1.3,White,Medium,24,Moderate
478,Yax Gorilla,Tiger,Predator,Sahara Square,9.1,3.1,7.9,3.7,0.2,Grey,Extra Large,28,High
479,Gazelle Sloth,Sloth,Prey,Meadowlands,6.0,0.4,9.3,2.6,5.7,Grey,Small,45,Moderate
480,Bucky Skunk,Hippo,Prey,Savanna Central,8.1,3.7,5.1,2.9,4.2,Black,Small,135,High
481,Sparky Bear,Jaguar,Predator,Tundratown,8.4,2.9,8.5,0.6,3.6,Orange,Large,64,High
482,Judy Weasel,Hippo,Prey,Downtown,9.0,1.1,6.1,5.7,2.1,Orange,Large,66,High
483,,Leopard,Predator,Rainforest District,,,8.4,5.0,1.6,Golden,Large,105,Low
484,,Mouse,Prey,Sahara Square,8.7,0.6,8.8,4.5,1.4,Orange,Large,77,High
485,Agent Panther,Giraffe,Prey,Meadowlands,8.3,3.1,,2.1,1.3,White,Small,110,High
486,Fuzzy Beaver,Hedgehog,Prey,Savanna Central,5.4,1.6,7.0,0.4,9.6,Orange,Extra Large,44,Low
487,Mayor Tiger,Gazelle,Prey,Tundratown,6.7,0.4,9.0,5.7,2.2,White,Large,111,Moderate
488,Clawhauser Pig,Mouse,Prey,Downtown,,2.0,9.0,4.2,3.4,Brown,Large,126,Low
489,Manchas Raccoon,Moose,Prey,Downtown,5.3,0.3,,1.8,9.6,Brown,Medium,58,Low
490,Hooves Bear,Zebra,Prey,Tundratown,9.0,3.7,7.0,3.9,0.4,White,Extra Large,138,High
